PartcipantID:6
instanceNumber;c;p;w;v;id;type;sol
1;78;98;5,49,6,12,24,16,37,46;9,45,21,39,2,16,31,21;1;-0.0978260869565217;1
2;50;105;10,28,8,15,8,38,13,4;3,33,20,32,46,41,15,12;2;-0.099009900990099;1
3;91;117;48,11,31,31,50,46,3,8;16,18,27,21,27,20,37,34;3;-0.1;1
4;82;83;12,46,31,36,12,8,19,40;1,18,17,32,9,43,15,33;4;-0.101190476190476;1
5;79;97;34,12,26,5,12,43,43,23;20,24,10,17,22,50,22,44;5;-0.100478468899522;1
6;93;128;3,19,46,42,29,48,2,44;22,23,23,48,19,10,45,36;6;-0.101769911504425;1
7;102;113;37,44,44,31,30,36,15,17;31,3,40,44,46,16,2,44;7;-0.101769911504425;1
8;105;93;47,18,11,45,45,22,38,36;16,36,7,35,35,29,38,35;8;-0.0995670995670995;1
9;63;127;17,9,45,11,18,10,19,28;18,30,46,49,49,6,24,28;9;-0.1;1
10;75;129;15,32,11,25,37,27,39,1;44,8,17,23,50,46,37,43;10;-0.100746268656716;1
11;69;158;14,20,19,47,25,5,35,8;26,49,45,10,36,47,8,14;11;-0.0978723404255319;1
12;76;115;46,37,15,7,3,47,27,7;33,27,33,24,15,19,39,26;12;-0.101851851851852;1
13;64;114;3,42,17,5,21,13,27,33;20,31,2,34,20,34,6,45;13;-0.0989583333333334;1
14;52;108;2,13,7,34,35,1,36,2;8,4,14,47,22,10,24,47;14;-0.102272727272727;1
15;64;132;45,6,16,1,29,19,37,8;35,46,18,6,25,34,17,43;15;-0.0982142857142857;1
16;65;98;22,27,44,4,1,19,17,29;35,46,20,12,22,32,19,32;16;-0.100917431192661;1
17;57;107;12,4,31,1,5,39,10,40;7,29,41,27,17,18,10,24;17;-0.0982658959537572;1
18;103;100;7,43,24,38,22,38,40,46;14,12,24,16,36,48,38,30;18;-0.100917431192661;1
19;79;120;32,17,26,37,5,19,19,42;19,14,21,48,18,42,23,4;19;-0.0105820105820106;1
20;80;179;42,16,1,32,50,6,41,11;20,30,44,4,17,28,50,29;20;-0.00900900900900903;1
21;97;111;11,50,35,11,36,29,21,50;28,15,47,7,18,31,2,9;21;-0.0127388535031847;1
22;56;148;25,7,20,1,31,28,5,22;37,21,28,39,8,6,46,15;22;-0.01;1
23;82;136;19,5,34,22,47,5,41,32;41,28,45,24,14,12,5,32;23;-0.00995024875621886;1
24;84;131;2,43,35,41,36,31,7,14;14,41,25,33,36,46,33,26;24;-0.0118110236220472;1
25;46;190;4,27,41,6,31,2,1,2;2,24,7,46,2,37,40,43;25;-0.00995024875621886;1
26;78;98;5,28,24,45,42,23,9,20;6,19,49,27,34,8,17,18;26;-0.0112359550561798;1
27;78;103;16,43,19,8,28,37,16,27;15,33,9,12,22,47,19,46;27;-0.00985221674876846;1
28;73;114;19,40,12,9,23,49,14,17;32,46,5,14,5,46,38,5;28;-0.0104712041884817;1
29;68;134;8,29,10,19,15,33,49,8;31,7,26,10,31,12,4,38;29;-0.0125786163522013;1
30;102;111;39,39,38,3,47,22,40,26;5,46,23,18,48,15,47,9;30;-0.00947867298578198;1
31;102;126;43,31,50,32,27,32,38,2;14,18,45,35,16,37,25,38;31;-0.00877192982456132;1
32;83;104;13,20,40,8,19,35,30,43;44,15,7,24,10,23,21,11;32;-0.0129032258064515;1
33;71;153;44,19,25,41,29,2,6,11;47,24,44,30,41,36,30,22;33;-0.010948905109489;1
34;74;148;42,29,36,13,36,20,7,3;48,41,14,4,4,36,31,35;34;-0.00938967136150226;1
35;78;142;48,3,1,43,27,22,5,47;10,20,8,44,3,36,32,48;35;-0.00995024875621886;1
36;74;113;42,14,35,3,25,8,38,19;21,20,19,38,13,33,20,11;36;-0.0114285714285715;1
37;76;124;31,21,31,4,24,10,24,44;31,19,15,40,15,28,23,48;37;0.0091324200913242;0
38;66;158;3,24,16,35,11,35,26,14;50,9,46,45,14,42,16,34;38;0.01171875;0
39;95;141;30,35,47,46,24,31,2,22;28,41,17,31,21,22,49,21;39;0.0086956521739131;0
40;60;108;45,20,12,4,9,14,46,1;11,3,1,28,6,29,40,32;40;0.0133333333333333;0
41;72;136;40,7,8,45,37,21,3,20;37,2,25,20,37,28,44,7;41;0.01;0
42;74;158;30,19,22,25,48,12,21,7;40,37,45,42,30,21,19,31;42;0.0113207547169811;0
43;69;155;26,22,17,15,9,36,10,37;39,47,33,50,23,26,3,1;43;0.00900900900900903;0
44;86;87;37,22,48,33,26,9,29,12;20,4,17,24,35,1,1,26;44;0.0078125;0
45;86;153;35,43,47,30,9,4,15,32;13,5,33,47,1,35,24,45;45;0.00985221674876846;0
