PartcipantID:6
InitialTimeStamp:11-25-18-219
block;trial;eventType;elapsedTime
1;1;Trial;159
1;1;ParticipantSkip;1032
1;1;TrialAnswer;1250
1;1;ParticipantAnswer;1983
1;1;ComplexityLikert;2019
1;1;ComplexityAnswer;3167
1;1;InterTrialRest;3276
1;2;Trial;4335
1;2;ParticipantSkip;4997
1;2;TrialAnswer;5193
1;2;ParticipantAnswer;5725
1;2;ComplexityLikert;5752
1;2;ComplexityAnswer;6686
1;2;InterTrialRest;6809
1;3;Trial;7872
1;3;ParticipantSkip;10112
1;3;TrialAnswer;10150
1;3;ParticipantAnswer;12447
1;3;ComplexityLikert;12470
1;3;ComplexityAnswer;15503
1;3;InterTrialRest;15539
1;4;Trial;16601
1;4;ParticipantSkip;17341
1;4;TrialAnswer;17459
1;4;ParticipantAnswer;17909
1;4;ComplexityLikert;17936
1;4;ComplexityAnswer;18520
1;4;InterTrialRest;18586
1;5;Trial;19642
1;5;ParticipantSkip;20071
1;5;TrialAnswer;20097
1;5;ParticipantAnswer;20318
1;5;ComplexityLikert;20341
1;5;ComplexityAnswer;20654
1;5;InterTrialRest;20793
1;6;Trial;21856
1;6;ParticipantSkip;22214
1;6;TrialAnswer;22317
1;6;ParticipantAnswer;22363
1;6;ComplexityLikert;22386
1;6;ComplexityAnswer;22726
1;6;StressLikert;22829
1;6;StressAnswer;23470
1;6;InterTrialRest;23677
1;7;Trial;24750
1;7;ParticipantSkip;26655
1;7;TrialAnswer;26821
1;7;ParticipantAnswer;26860
1;7;ComplexityLikert;26882
1;7;ComplexityAnswer;27135
1;7;InterTrialRest;27329
1;8;Trial;28387
1;8;ParticipantSkip;28487
1;8;TrialAnswer;28649
1;8;ParticipantAnswer;28693
1;8;ComplexityLikert;28714
1;8;ComplexityAnswer;29047
1;8;InterTrialRest;29160
1;9;Trial;30228
1;9;ParticipantSkip;30599
1;9;TrialAnswer;30687
1;9;ParticipantAnswer;30737
1;9;ComplexityLikert;30758
1;9;ComplexityAnswer;30797
1;9;InterTrialRest;31001
1;10;Trial;32075
1;10;ParticipantSkip;32471
1;10;TrialAnswer;32538
1;10;ParticipantAnswer;32588
1;10;ComplexityLikert;32611
1;10;ComplexityAnswer;32719
1;10;InterTrialRest;32857
1;11;Trial;33914
1;11;ParticipantSkip;34327
1;11;TrialAnswer;34380
1;11;ParticipantAnswer;34433
1;11;ComplexityLikert;34456
1;11;ComplexityAnswer;34623
1;11;InterTrialRest;34699
1;12;Trial;35775
1;12;ParticipantSkip;36383
1;12;TrialAnswer;36433
1;12;ParticipantAnswer;36527
1;12;ComplexityLikert;36549
1;12;ComplexityAnswer;36703
1;12;StressLikert;36792
1;12;StressAnswer;37495
1;12;InterTrialRest;37639
1;13;Trial;38710
1;13;ParticipantSkip;39167
1;13;TrialAnswer;39377
1;13;ParticipantAnswer;39416
1;13;ComplexityLikert;39438
1;13;ComplexityAnswer;40559
1;13;InterTrialRest;40687
1;14;Trial;41761
1;14;ParticipantSkip;41949
1;14;TrialAnswer;42019
1;14;ParticipantAnswer;42067
1;14;ComplexityLikert;42089
1;14;ComplexityAnswer;42128
1;14;InterTrialRest;42334
1;15;Trial;43392
1;15;ParticipantSkip;43582
1;15;TrialAnswer;43657
1;15;ParticipantAnswer;43708
1;15;ComplexityLikert;43730
1;15;ComplexityAnswer;43974
1;15;InterTrialRest;44174
1;16;Trial;45227
1;16;ParticipantSkip;45437
1;16;TrialAnswer;45495
1;16;ParticipantAnswer;45542
1;16;ComplexityLikert;45569
1;16;ComplexityAnswer;45863
1;16;InterTrialRest;46015
1;17;Trial;47066
1;17;ParticipantSkip;47261
1;17;TrialAnswer;47320
1;17;ParticipantAnswer;47367
1;17;ComplexityLikert;47390
1;17;ComplexityAnswer;47640
1;17;InterTrialRest;47835
1;18;Trial;48904
1;18;ParticipantSkip;49071
1;18;TrialAnswer;49157
1;18;ParticipantAnswer;49201
1;18;ComplexityLikert;49228
1;18;ComplexityAnswer;49375
1;18;StressLikert;49475
1;18;StressAnswer;49646
1;18;InterTrialRest;49716
1;19;Trial;50778
1;19;ParticipantSkip;50998
1;19;TrialAnswer;51043
1;19;ParticipantAnswer;51128
1;19;ComplexityLikert;51149
1;19;ComplexityAnswer;51280
1;19;InterTrialRest;51393
1;20;Trial;52452
1;20;ParticipantSkip;52584
1;20;TrialAnswer;52712
1;20;ParticipantAnswer;52755
1;20;ComplexityLikert;52779
1;20;ComplexityAnswer;52818
1;20;InterTrialRest;53022
1;21;Trial;54080
1;21;ParticipantSkip;54263
1;21;TrialAnswer;54339
1;21;ParticipantAnswer;54387
1;21;ComplexityLikert;54409
1;21;ComplexityAnswer;54448
1;21;InterTrialRest;54651
1;22;Trial;55703
1;22;ParticipantSkip;55919
1;22;TrialAnswer;55955
1;22;ParticipantAnswer;56047
1;22;ComplexityLikert;56073
1;22;ComplexityAnswer;56115
1;22;InterTrialRest;56320
1;23;Trial;57385
1;23;ParticipantSkip;57559
1;23;TrialAnswer;57657
1;23;ParticipantAnswer;57706
1;23;ComplexityLikert;57731
1;23;ComplexityAnswer;57770
1;23;InterTrialRest;57975
1;24;Trial;59034
1;24;ParticipantSkip;59134
1;24;TrialAnswer;59295
1;24;ParticipantAnswer;59334
1;24;ComplexityLikert;59356
1;24;ComplexityAnswer;59407
1;24;StressLikert;59601
1;24;StressAnswer;59639
1;24;InterTrialRest;59842
2;0;InterBlockRest;60891
