PartcipantID:6
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error;complexAnswer;complexTimeSpent;stressAnswer;stressTimeSpent
1;1;1;0;0.7271602;0;70;(2,3)(6,1.5)(6.5,4.5)(2,4.5)(-0.5,6.5)(8.5,0)(-0.5,4.5)(8.5,6);;2;1.14233;666;666
1;2;0;0;0.5019495;0;6;(2,4.5)(8.5,4.5)(-0.5,6.5)(6,2.5)(1.5,2)(-0.5,1.5)(8.5,0.5)(-0.5,4.5);;4;0.9194946;666;666
1;3;1;1;2.27694;0;32;(-0.5,0)(8.5,1.5)(5.5,3.5)(2.5,4)(1.5,1.5)(-0.5,6.5)(8.5,6.5)(8.5,3);;1;3.004456;666;666
1;4;0;0;0.4311085;1;8;(8.5,2.5)(-0.5,3.5)(5.5,4)(2,2.5)(8.5,6.5)(8.5,4.5)(-0.5,-0.5)(2,4.5);;5;0.5688553;666;666
1;5;1;1;0.203582;0;17;(2,4.5)(-0.5,2)(8.5,3.5)(8.5,5)(8.5,1.5)(-0.5,-0.5)(2,2)(6.5,2.5);;4;0.3033752;666;666
1;6;1;0;0.008572578;0;41;(-0.5,-0.5)(6,3.5)(1.5,1.5)(-0.5,4.5)(-0.5,6.5)(8.5,6.5)(1.5,4)(8.5,2.5);;2;0.3587227;4;0.6471062
1;7;0;1;0.009043217;1;50;(2,1.5)(2.5,4)(-0.5,1)(-0.5,6)(-0.5,3.5)(8.5,4)(6.5,2)(8.5,-0.5);;5;0.2692528;666;666
1;8;1;0;0.009759426;0;65;(5.5,1.5)(-0.5,0.5)(-0.5,5)(8.5,2)(6,3)(2,3.5)(8.5,5)(5.5,4.5);;1;0.3521156;666;666
1;9;0;0;0.009559155;1;3;(8.5,1.5)(-0.5,0.5)(8.5,3)(6.5,4)(-0.5,2)(2,3.5)(6.5,2)(-0.5,6.5);;1;0.04000092;666;666
1;10;0;1;0.009494781;1;54;(2,2.5)(6.5,4.5)(-0.5,0)(-0.5,2)(8.5,2.5)(-0.5,5.5)(5.5,1.5)(-0.5,3.5);;0;0.124958;666;666
1;11;1;1;0.01038074;0;16;(2,2.5)(2.5,4)(8.5,0.5)(6,4)(-0.5,3.5)(8.5,4)(5.5,1.5)(-0.5,6.5);;4;0.1848488;666;666
1;12;0;1;0.07427764;1;72;(6.5,2.5)(2,4.5)(-0.5,4)(8.5,3)(-0.5,-0.5)(8.5,5.5)(8.5,0)(-0.5,1.5);;2;0.1474686;1;0.6940002
1;13;0;1;0.01008415;1;66;(6.5,2.5)(2,2)(2.5,4)(-0.5,2.5)(8.5,0)(6,4)(8.5,2)(8.5,6.5);;0;1.139896;666;666
1;14;0;1;0.009852409;1;51;(8.5,0.5)(2,4.5)(6,4)(-0.5,5)(8.5,6)(-0.5,2.5)(8.5,3.5)(-0.5,0.5);;3;0.04000092;666;666
1;15;1;0;0.009367943;0;55;(8.5,3)(8.5,4.5)(6.5,3.5)(8.5,6.5)(-0.5,0)(2,3)(2,4.5)(-0.5,2.5);;2;0.2648277;666;666
1;16;1;0;0.009268284;0;69;(6,3.5)(6.5,1.5)(-0.5,4)(2.5,4.5)(8.5,1.5)(1.5,2)(-0.5,0.5)(8.5,5);;4;0.3097725;666;666
1;17;0;1;0.009789467;1;39;(-0.5,5)(1.5,4.5)(5.5,4.5)(8.5,0)(5.5,1.5)(-0.5,2.5)(8.5,3.5)(-0.5,0);;3;0.2692261;666;666
1;18;1;1;0.00972271;0;33;(6.5,4)(1.5,3.5)(8.5,5)(8.5,1)(8.5,3)(-0.5,5.5)(-0.5,-0.5)(6,2);;0;0.1642723;2;0.1619835
1;19;1;0;0.07449269;0;63;(6.5,3.5)(8.5,0.5)(2,2)(8.5,6.5)(2.5,4.5)(8.5,2)(-0.5,4.5)(-0.5,2.5);;1;0.1265564;666;666
1;20;0;1;0.009002686;1;67;(-0.5,5.5)(8.5,1.5)(6.5,2)(2,1.5)(2,3.5)(6,4)(-0.5,0)(8.5,3.5);;5;0.04000092;666;666
1;21;0;1;0.009985924;1;48;(8.5,4)(6,3.5)(8.5,1.5)(8.5,6.5)(2,4)(6,1.5)(1.5,2)(-0.5,3);;2;0.04000092;666;666
1;22;0;0;0.07900739;1;36;(6.5,4)(-0.5,0.5)(-0.5,4.5)(2.5,4.5)(6,2)(8.5,6.5)(8.5,-0.5)(8.5,2.5);;4;0.01720428;666;666
1;23;1;0;0.01073217;0;43;(8.5,5)(8.5,-0.5)(-0.5,4)(5.5,4)(1.5,2.5)(-0.5,1.5)(8.5,6.5)(1.5,4);;3;0.04000092;666;666
1;24;0;1;0.009213924;1;38;(1.5,3)(5.5,1.5)(-0.5,6)(2,4.5)(-0.5,3)(5.5,4.5)(8.5,5.5)(8.5,0);;5;0.07191467;0;0.01197052
